epoch,grad_norm,learning_rate,loss,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.015574504536074446,1.5697134733200073,0.00019896157840083075,1.3672,100,,,,,,,,,
0.031149009072148893,1.4273059368133545,0.0001979231568016615,0.9676,200,,,,,,,,,
0.04672351360822334,1.3675639629364014,0.0001968847352024922,0.8769,300,,,,,,,,,
0.062298018144297786,1.7175430059432983,0.00019584631360332295,0.9013,400,,,,,,,,,
0.07787252268037223,1.1964839696884155,0.0001948078920041537,0.8033,500,,,,,,,,,
0.07787252268037223,,,,500,0.8094962239265442,83.8784,38.27,4.793,,,,,
0.09344702721644668,1.369248390197754,0.00019376947040498444,0.8027,600,,,,,,,,,
0.10902153175252112,0.8149735927581787,0.00019273104880581515,0.8294,700,,,,,,,,,
0.12459603628859557,1.0717893838882446,0.00019169262720664592,0.7857,800,,,,,,,,,
0.14017054082467,1.3512755632400513,0.00019065420560747664,0.7934,900,,,,,,,,,
0.15574504536074446,1.096996545791626,0.00018961578400830738,0.7781,1000,,,,,,,,,
0.15574504536074446,,,,1000,0.7393927574157715,84.8441,37.834,4.738,,,,,
0.1713195498968189,1.6507658958435059,0.00018857736240913812,0.7264,1100,,,,,,,,,
0.18689405443289336,1.0090845823287964,0.00018753894080996886,0.7326,1200,,,,,,,,,
0.2024685589689678,1.4039995670318604,0.00018650051921079958,0.7208,1300,,,,,,,,,
0.21804306350504224,1.3090790510177612,0.00018546209761163035,0.704,1400,,,,,,,,,
0.2336175680411167,1.1760145425796509,0.00018442367601246106,0.7221,1500,,,,,,,,,
0.2336175680411167,,,,1500,0.7037472724914551,84.3698,38.047,4.765,,,,,
0.24919207257719114,2.057750701904297,0.0001833852544132918,0.7543,1600,,,,,,,,,
0.26476657711326557,2.388653039932251,0.00018234683281412255,0.7154,1700,,,,,,,,,
0.28034108164934,1.0480321645736694,0.0001813084112149533,0.739,1800,,,,,,,,,
0.29591558618541447,0.816748857498169,0.000180269989615784,0.6409,1900,,,,,,,,,
0.3114900907214889,0.9523995518684387,0.00017923156801661475,0.7135,2000,,,,,,,,,
0.3114900907214889,,,,2000,0.6721306443214417,84.4161,38.026,4.762,,,,,
0.3270645952575634,0.8626405000686646,0.0001781931464174455,0.6554,2100,,,,,,,,,
0.3426390997936378,0.7136983275413513,0.00017716510903426793,0.6729,2200,,,,,,,,,
0.3582136043297123,1.3623875379562378,0.00017612668743509865,0.7016,2300,,,,,,,,,
0.37378810886578673,0.5841413140296936,0.0001750882658359294,0.6723,2400,,,,,,,,,
0.3893626134018612,1.8146263360977173,0.00017404984423676013,0.6776,2500,,,,,,,,,
0.3893626134018612,,,,2500,0.6505167484283447,83.1237,38.617,4.836,,,,,
0.4049371179379356,1.4973596334457397,0.00017301142263759087,0.6654,2600,,,,,,,,,
0.42051162247401,0.9050430655479431,0.0001719730010384216,0.6602,2700,,,,,,,,,
0.4360861270100845,1.336545705795288,0.00017093457943925236,0.6286,2800,,,,,,,,,
0.45166063154615893,1.2525408267974854,0.00016989615784008307,0.6527,2900,,,,,,,,,
0.4672351360822334,1.4356160163879395,0.00016885773624091382,0.6481,3000,,,,,,,,,
0.4672351360822334,,,,3000,0.6322662234306335,84.1641,38.14,4.776,,,,,
0.48280964061830783,1.7409716844558716,0.00016781931464174456,0.6786,3100,,,,,,,,,
0.4983841451543823,1.1897317171096802,0.0001667808930425753,0.6571,3200,,,,,,,,,
0.5139586496904567,1.5205127000808716,0.00016574247144340601,0.6334,3300,,,,,,,,,
0.5295331542265311,0.6281716823577881,0.00016470404984423678,0.6381,3400,,,,,,,,,
0.5451076587626056,0.6680464148521423,0.0001636656282450675,0.6844,3500,,,,,,,,,
0.5451076587626056,,,,3500,0.6214743852615356,84.306,38.076,4.768,,,,,
0.56068216329868,1.891798973083496,0.00016262720664589824,0.6545,3600,,,,,,,,,
0.5762566678347545,0.8936787247657776,0.00016158878504672898,0.6411,3700,,,,,,,,,
0.5918311723708289,0.951208233833313,0.00016055036344755973,0.6458,3800,,,,,,,,,
0.6074056769069034,1.447727918624878,0.00015951194184839044,0.654,3900,,,,,,,,,
0.6229801814429778,0.9011734127998352,0.00015847352024922118,0.6312,4000,,,,,,,,,
0.6229801814429778,,,,4000,0.6075526475906372,84.7563,37.873,4.743,,,,,
0.6385546859790523,0.9665262699127197,0.00015743509865005193,0.5833,4100,,,,,,,,,
0.6541291905151267,1.9684962034225464,0.00015639667705088267,0.6372,4200,,,,,,,,,
0.6697036950512012,1.0348337888717651,0.0001553582554517134,0.6205,4300,,,,,,,,,
0.6852781995872756,0.570238471031189,0.00015431983385254413,0.6241,4400,,,,,,,,,
0.7008527041233501,1.2592474222183228,0.00015328141225337487,0.6278,4500,,,,,,,,,
0.7008527041233501,,,,4500,0.5970811247825623,83.658,38.371,4.805,,,,,
0.7164272086594246,1.353212594985962,0.0001522429906542056,0.6196,4600,,,,,,,,,
0.732001713195499,0.9523603320121765,0.00015120456905503635,0.5987,4700,,,,,,,,,
0.7475762177315735,1.3833438158035278,0.00015016614745586707,0.6119,4800,,,,,,,,,
0.7631507222676479,1.0586296319961548,0.00014912772585669784,0.6335,4900,,,,,,,,,
0.7787252268037224,1.4327267408370972,0.00014808930425752855,0.5933,5000,,,,,,,,,
0.7787252268037224,,,,5000,0.5858917832374573,84.7589,37.872,4.743,,,,,
0.7942997313397967,0.7862153053283691,0.000147061266874351,0.5997,5100,,,,,,,,,
0.8098742358758712,1.3027170896530151,0.00014602284527518174,0.6269,5200,,,,,,,,,
0.8254487404119456,0.8771499395370483,0.00014498442367601245,0.6096,5300,,,,,,,,,
0.84102324494802,0.9662847518920898,0.00014394600207684322,0.601,5400,,,,,,,,,
0.8565977494840945,0.940648078918457,0.00014290758047767394,0.6285,5500,,,,,,,,,
0.8565977494840945,,,,5500,0.5801650881767273,85.1302,37.707,4.722,,,,,
0.872172254020169,1.606158971786499,0.00014186915887850468,0.5682,5600,,,,,,,,,
0.8877467585562434,1.2986669540405273,0.00014083073727933542,0.5873,5700,,,,,,,,,
0.9033212630923179,0.9380296468734741,0.00013979231568016616,0.5904,5800,,,,,,,,,
0.9188957676283923,1.8288252353668213,0.00013875389408099688,0.6332,5900,,,,,,,,,
0.9344702721644668,0.6930772066116333,0.00013771547248182762,0.5827,6000,,,,,,,,,
0.9344702721644668,,,,6000,0.5727651715278625,85.0429,37.746,4.727,,,,,
0.9500447767005412,0.6862246990203857,0.00013667705088265836,0.6089,6100,,,,,,,,,
0.9656192812366157,0.8787804245948792,0.0001356386292834891,0.6385,6200,,,,,,,,,
0.9811937857726901,1.4107606410980225,0.00013460020768431985,0.5998,6300,,,,,,,,,
0.9967682903087646,1.3703022003173828,0.00013356178608515056,0.5587,6400,,,,,,,,,
1.012342794844839,1.3696835041046143,0.0001325233644859813,0.5802,6500,,,,,,,,,
1.012342794844839,,,,6500,0.5682131052017212,87.085,36.861,4.616,,,,,
1.0279172993809134,1.4200161695480347,0.00013148494288681205,0.5556,6600,,,,,,,,,
1.0434918039169878,1.7429975271224976,0.0001304465212876428,0.5292,6700,,,,,,,,,
1.0590663084530623,1.7040424346923828,0.0001294080996884735,0.55,6800,,,,,,,,,
1.0746408129891367,1.3192551136016846,0.00012836967808930427,0.5666,6900,,,,,,,,,
1.0902153175252112,1.1329110860824585,0.000127331256490135,0.5744,7000,,,,,,,,,
1.0902153175252112,,,,7000,0.5628973841667175,84.3941,38.036,4.763,,,,,
1.1057898220612856,0.6979762315750122,0.00012629283489096573,0.5551,7100,,,,,,,,,
1.12136432659736,1.4388972520828247,0.00012525441329179647,0.5514,7200,,,,,,,,,
1.1369388311334345,1.5347037315368652,0.00012421599169262722,0.5372,7300,,,,,,,,,
1.152513335669509,1.1040664911270142,0.00012317757009345793,0.5488,7400,,,,,,,,,
1.1680878402055834,1.6503612995147705,0.0001221391484942887,0.5528,7500,,,,,,,,,
1.1680878402055834,,,,7500,0.5593416690826416,84.5901,37.948,4.752,,,,,
1.1836623447416579,1.1647353172302246,0.00012110072689511942,0.5254,7600,,,,,,,,,
1.1992368492777323,1.4467204809188843,0.00012006230529595014,0.5605,7700,,,,,,,,,
1.2148113538138068,1.4836846590042114,0.0001190238836967809,0.5458,7800,,,,,,,,,
1.2303858583498812,1.1243910789489746,0.00011798546209761163,0.5512,7900,,,,,,,,,
1.2459603628859557,0.6513056755065918,0.00011694704049844239,0.5283,8000,,,,,,,,,
1.2459603628859557,,,,8000,0.5554636716842651,84.711,37.894,4.746,,,,,
1.2615348674220301,1.6414973735809326,0.00011590861889927311,0.5428,8100,,,,,,,,,
1.2771093719581046,1.550502896308899,0.00011487019730010384,0.5381,8200,,,,,,,,,
1.292683876494179,1.643866777420044,0.0001138317757009346,0.5629,8300,,,,,,,,,
